LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;FREQUENCY;Frequency;TIME;Period;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q2;Q2-2002;SEK;Swedish Krona;6;Millions;2021;2021;913500;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q3;Q3-2002;SEK;Swedish Krona;6;Millions;2021;2021;918925;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q4;Q4-2002;SEK;Swedish Krona;6;Millions;2021;2021;920597;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q1;Q1-2003;SEK;Swedish Krona;6;Millions;2021;2021;931079;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q2;Q2-2003;SEK;Swedish Krona;6;Millions;2021;2021;926045;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q3;Q3-2003;SEK;Swedish Krona;6;Millions;2021;2021;939100;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q4;Q4-2003;SEK;Swedish Krona;6;Millions;2021;2021;945304;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q1;Q1-2004;SEK;Swedish Krona;6;Millions;2021;2021;962338;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q2;Q2-2004;SEK;Swedish Krona;6;Millions;2021;2021;966523;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q3;Q3-2004;SEK;Swedish Krona;6;Millions;2021;2021;974062;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q4;Q4-2004;SEK;Swedish Krona;6;Millions;2021;2021;982170;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q1;Q1-2005;SEK;Swedish Krona;6;Millions;2021;2021;986537;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q2;Q2-2005;SEK;Swedish Krona;6;Millions;2021;2021;992990;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q3;Q3-2005;SEK;Swedish Krona;6;Millions;2021;2021;1004780;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q4;Q4-2005;SEK;Swedish Krona;6;Millions;2021;2021;1011737;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q1;Q1-2006;SEK;Swedish Krona;6;Millions;2021;2021;1027292;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q2;Q2-2006;SEK;Swedish Krona;6;Millions;2021;2021;1044277;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q3;Q3-2006;SEK;Swedish Krona;6;Millions;2021;2021;1056521;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q4;Q4-2006;SEK;Swedish Krona;6;Millions;2021;2021;1063490;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q1;Q1-2007;SEK;Swedish Krona;6;Millions;2021;2021;1073686;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q2;Q2-2007;SEK;Swedish Krona;6;Millions;2021;2021;1079437;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q3;Q3-2007;SEK;Swedish Krona;6;Millions;2021;2021;1087831;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q4;Q4-2007;SEK;Swedish Krona;6;Millions;2021;2021;1099826;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q1;Q1-2008;SEK;Swedish Krona;6;Millions;2021;2021;1091564;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q2;Q2-2008;SEK;Swedish Krona;6;Millions;2021;2021;1090731;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q3;Q3-2008;SEK;Swedish Krona;6;Millions;2021;2021;1085514;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q4;Q4-2008;SEK;Swedish Krona;6;Millions;2021;2021;1046623;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q1;Q1-2009;SEK;Swedish Krona;6;Millions;2021;2021;1031583;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q2;Q2-2009;SEK;Swedish Krona;6;Millions;2021;2021;1032013;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q3;Q3-2009;SEK;Swedish Krona;6;Millions;2021;2021;1031541;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q4;Q4-2009;SEK;Swedish Krona;6;Millions;2021;2021;1036437;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q1;Q1-2010;SEK;Swedish Krona;6;Millions;2021;2021;1063913;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q2;Q2-2010;SEK;Swedish Krona;6;Millions;2021;2021;1085779;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q3;Q3-2010;SEK;Swedish Krona;6;Millions;2021;2021;1099215;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q4;Q4-2010;SEK;Swedish Krona;6;Millions;2021;2021;1116722;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2011-Q1;Q1-2011;SEK;Swedish Krona;6;Millions;2021;2021;1120917;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2011-Q2;Q2-2011;SEK;Swedish Krona;6;Millions;2021;2021;1124657;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2011-Q3;Q3-2011;SEK;Swedish Krona;6;Millions;2021;2021;1138867;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2011-Q4;Q4-2011;SEK;Swedish Krona;6;Millions;2021;2021;1123452;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2012-Q1;Q1-2012;SEK;Swedish Krona;6;Millions;2021;2021;1125191;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2012-Q2;Q2-2012;SEK;Swedish Krona;6;Millions;2021;2021;1126897;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2012-Q3;Q3-2012;SEK;Swedish Krona;6;Millions;2021;2021;1125341;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2012-Q4;Q4-2012;SEK;Swedish Krona;6;Millions;2021;2021;1117778;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2013-Q1;Q1-2013;SEK;Swedish Krona;6;Millions;2021;2021;1132835;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2013-Q2;Q2-2013;SEK;Swedish Krona;6;Millions;2021;2021;1131891;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2013-Q3;Q3-2013;SEK;Swedish Krona;6;Millions;2021;2021;1136984;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2013-Q4;Q4-2013;SEK;Swedish Krona;6;Millions;2021;2021;1145051;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2014-Q1;Q1-2014;SEK;Swedish Krona;6;Millions;2021;2021;1154510;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2014-Q2;Q2-2014;SEK;Swedish Krona;6;Millions;2021;2021;1164011;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2014-Q3;Q3-2014;SEK;Swedish Krona;6;Millions;2021;2021;1172291;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2014-Q4;Q4-2014;SEK;Swedish Krona;6;Millions;2021;2021;1181415;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2015-Q1;Q1-2015;SEK;Swedish Krona;6;Millions;2021;2021;1198019;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2015-Q2;Q2-2015;SEK;Swedish Krona;6;Millions;2021;2021;1210045;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2015-Q3;Q3-2015;SEK;Swedish Krona;6;Millions;2021;2021;1226665;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2015-Q4;Q4-2015;SEK;Swedish Krona;6;Millions;2021;2021;1235543;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2016-Q1;Q1-2016;SEK;Swedish Krona;6;Millions;2021;2021;1235158;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2016-Q2;Q2-2016;SEK;Swedish Krona;6;Millions;2021;2021;1235555;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2016-Q3;Q3-2016;SEK;Swedish Krona;6;Millions;2021;2021;1239565;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2016-Q4;Q4-2016;SEK;Swedish Krona;6;Millions;2021;2021;1249831;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2017-Q1;Q1-2017;SEK;Swedish Krona;6;Millions;2021;2021;1256315;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2017-Q2;Q2-2017;SEK;Swedish Krona;6;Millions;2021;2021;1272486;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2017-Q3;Q3-2017;SEK;Swedish Krona;6;Millions;2021;2021;1284647;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2017-Q4;Q4-2017;SEK;Swedish Krona;6;Millions;2021;2021;1286064;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2018-Q1;Q1-2018;SEK;Swedish Krona;6;Millions;2021;2021;1291871;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2018-Q2;Q2-2018;SEK;Swedish Krona;6;Millions;2021;2021;1304822;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2018-Q3;Q3-2018;SEK;Swedish Krona;6;Millions;2021;2021;1295660;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2018-Q4;Q4-2018;SEK;Swedish Krona;6;Millions;2021;2021;1310453;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2019-Q1;Q1-2019;SEK;Swedish Krona;6;Millions;2021;2021;1318966;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2019-Q2;Q2-2019;SEK;Swedish Krona;6;Millions;2021;2021;1326442;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2019-Q3;Q3-2019;SEK;Swedish Krona;6;Millions;2021;2021;1330011;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2019-Q4;Q4-2019;SEK;Swedish Krona;6;Millions;2021;2021;1332116;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2020-Q1;Q1-2020;SEK;Swedish Krona;6;Millions;2021;2021;1332080;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2020-Q2;Q2-2020;SEK;Swedish Krona;6;Millions;2021;2021;1223971;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2020-Q3;Q3-2020;SEK;Swedish Krona;6;Millions;2021;2021;1316267;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2020-Q4;Q4-2020;SEK;Swedish Krona;6;Millions;2021;2021;1311061;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2021-Q1;Q1-2021;SEK;Swedish Krona;6;Millions;2021;2021;1332474;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2021-Q2;Q2-2021;SEK;Swedish Krona;6;Millions;2021;2021;1342912;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2021-Q3;Q3-2021;SEK;Swedish Krona;6;Millions;2021;2021;1369993;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2021-Q4;Q4-2021;SEK;Swedish Krona;6;Millions;2021;2021;1388024;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2022-Q1;Q1-2022;SEK;Swedish Krona;6;Millions;2021;2021;1386989;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2022-Q2;Q2-2022;SEK;Swedish Krona;6;Millions;2021;2021;1397086;;
SWE;Sweden;B1_GE;Gross domestic product - expenditure approach;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2022-Q3;Q3-2022;SEK;Swedish Krona;6;Millions;2021;2021;1405464;;
