LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
SWE;STINT;TOT;PC_PA;Q;2009-Q2;0.3866667;
SWE;STINT;TOT;PC_PA;Q;2009-Q3;0.1633333;
SWE;STINT;TOT;PC_PA;Q;2009-Q4;0.1766667;
SWE;STINT;TOT;PC_PA;Q;2010-Q1;0.2166667;
SWE;STINT;TOT;PC_PA;Q;2010-Q2;0.28;
SWE;STINT;TOT;PC_PA;Q;2010-Q3;0.4533333;
SWE;STINT;TOT;PC_PA;Q;2010-Q4;1.066667;
SWE;STINT;TOT;PC_PA;Q;2011-Q1;1.656667;
SWE;STINT;TOT;PC_PA;Q;2011-Q2;1.853333;
SWE;STINT;TOT;PC_PA;Q;2011-Q3;1.696667;
SWE;STINT;TOT;PC_PA;Q;2011-Q4;1.423333;
SWE;STINT;TOT;PC_PA;Q;2012-Q1;1.546667;
SWE;STINT;TOT;PC_PA;Q;2012-Q2;1.353333;
SWE;STINT;TOT;PC_PA;Q;2012-Q3;1.096667;
SWE;STINT;TOT;PC_PA;Q;2012-Q4;1.016667;
SWE;STINT;TOT;PC_PA;Q;2013-Q1;0.97;
SWE;STINT;TOT;PC_PA;Q;2013-Q2;0.93;
SWE;STINT;TOT;PC_PA;Q;2013-Q3;0.9166667;
SWE;STINT;TOT;PC_PA;Q;2013-Q4;0.8866667;
SWE;STINT;TOT;PC_PA;Q;2014-Q1;0.73;
SWE;STINT;TOT;PC_PA;Q;2014-Q2;0.6466666;
SWE;STINT;TOT;PC_PA;Q;2014-Q3;0.2233333;
SWE;STINT;TOT;PC_PA;Q;2014-Q4;0.08333334;
SWE;STINT;TOT;PC_PA;Q;2015-Q1;-0.006666667;
SWE;STINT;TOT;PC_PA;Q;2015-Q2;-0.2833333;
SWE;STINT;TOT;PC_PA;Q;2015-Q3;-0.4733333;
SWE;STINT;TOT;PC_PA;Q;2015-Q4;-0.3933333;
SWE;STINT;TOT;PC_PA;Q;2016-Q1;-0.5166667;
SWE;STINT;TOT;PC_PA;Q;2016-Q2;-0.6066667;
SWE;STINT;TOT;PC_PA;Q;2016-Q3;-0.72;
SWE;STINT;TOT;PC_PA;Q;2016-Q4;-0.7766666;
SWE;STINT;TOT;PC_PA;Q;2017-Q1;-0.6966667;
SWE;STINT;TOT;PC_PA;Q;2017-Q2;-0.64;
SWE;STINT;TOT;PC_PA;Q;2017-Q3;-0.73;
SWE;STINT;TOT;PC_PA;Q;2017-Q4;-0.7133333;
SWE;STINT;TOT;PC_PA;Q;2018-Q1;-0.67;
SWE;STINT;TOT;PC_PA;Q;2018-Q2;-0.6833333;
SWE;STINT;TOT;PC_PA;Q;2018-Q3;-0.6933333;
SWE;STINT;TOT;PC_PA;Q;2018-Q4;-0.6966667;
SWE;STINT;TOT;PC_PA;Q;2019-Q1;-0.4133333;
SWE;STINT;TOT;PC_PA;Q;2019-Q2;-0.4;
SWE;STINT;TOT;PC_PA;Q;2019-Q3;-0.4133333;
SWE;STINT;TOT;PC_PA;Q;2019-Q4;-0.4566667;
SWE;STINT;TOT;PC_PA;Q;2020-Q1;-0.1566667;
SWE;STINT;TOT;PC_PA;Q;2020-Q2;-0.13;
SWE;STINT;TOT;PC_PA;Q;2020-Q3;-0.11;
SWE;STINT;TOT;PC_PA;Q;2020-Q4;-0.1433333;
SWE;STINT;TOT;PC_PA;Q;2021-Q1;-0.1466667;
SWE;STINT;TOT;PC_PA;Q;2021-Q2;-0.1533333;
SWE;STINT;TOT;PC_PA;Q;2021-Q3;-0.1633333;
SWE;STINT;TOT;PC_PA;Q;2021-Q4;-0.3133333;
SWE;STINT;TOT;PC_PA;Q;2022-Q1;-0.1733333;
SWE;STINT;TOT;PC_PA;Q;2022-Q2;0.24;
SWE;STINT;TOT;PC_PA;Q;2022-Q3;1.14;
