LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;FREQUENCY;Frequency;TIME;Period;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q3;Q3-2002;SEK;Swedish Krona;6;Millions;2021;2021;288936;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2002-Q4;Q4-2002;SEK;Swedish Krona;6;Millions;2021;2021;290183;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q1;Q1-2003;SEK;Swedish Krona;6;Millions;2021;2021;290608;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q2;Q2-2003;SEK;Swedish Krona;6;Millions;2021;2021;290756;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q3;Q3-2003;SEK;Swedish Krona;6;Millions;2021;2021;291515;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2003-Q4;Q4-2003;SEK;Swedish Krona;6;Millions;2021;2021;290653;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q1;Q1-2004;SEK;Swedish Krona;6;Millions;2021;2021;288803;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q2;Q2-2004;SEK;Swedish Krona;6;Millions;2021;2021;288671;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q3;Q3-2004;SEK;Swedish Krona;6;Millions;2021;2021;287477;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2004-Q4;Q4-2004;SEK;Swedish Krona;6;Millions;2021;2021;286985;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q1;Q1-2005;SEK;Swedish Krona;6;Millions;2021;2021;288241;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q2;Q2-2005;SEK;Swedish Krona;6;Millions;2021;2021;288011;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q3;Q3-2005;SEK;Swedish Krona;6;Millions;2021;2021;287776;;
