LOCATION;Country;TRANSACTION;Transaction;SECTOR;Sector;MEASURE;Measure;ADJUSTED;Adjusted;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;1999-Q4;Q4-1999;PC;Percentage;0;Units;;;71.2;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2000-Q1;Q1-2000;PC;Percentage;0;Units;;;67.7;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2000-Q2;Q2-2000;PC;Percentage;0;Units;;;62.9;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2000-Q3;Q3-2000;PC;Percentage;0;Units;;;61.2;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2000-Q4;Q4-2000;PC;Percentage;0;Units;;;61.5;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2001-Q1;Q1-2001;PC;Percentage;0;Units;;;63;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2001-Q2;Q2-2001;PC;Percentage;0;Units;;;63.5;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2001-Q3;Q3-2001;PC;Percentage;0;Units;;;64.2;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2001-Q4;Q4-2001;PC;Percentage;0;Units;;;64.8;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2002-Q1;Q1-2002;PC;Percentage;0;Units;;;62.1;;
